名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京建外soho西区距离,北京建外soho西区时间
艾悦经络养生馆,https://www.dianping.com/shop/l8uft3mqPgHktEiB,海府街道蓝天路57号(汇鹏大厦1601室),[海口],"110.356733,20.025301",65321557,2025-12-08 20:26,,,,,,
Darling U·甜,https://www.dianping.com/shop/EIhtkz0xeV0nijct,青年西路青年路29号院19号楼8号底商,[北京],"116.512346,39.928740",15201515177,2025-12-08 20:08,30.40 km,85 min,Error,Error,7.85 km,35 min
卡地亚,https://www.dianping.com/shop/H8Yg5qsEjbbwbJxA,cdf海口国际免税城L1-46L2-56/L3-48,[海口],,68556666,2025-12-08 17:18,,,,,,
聚福安·传统老爸茶,https://www.dianping.com/shop/l8Di2ysqLsyrD7X5,金龙路11号上邦百汇城3号楼B2区2层P-03商铺,[海口],"110.371653,20.032435",65951893,2025-12-08 17:18,,,,,,
恒兴发茶店,https://www.dianping.com/shop/l8irXVrCsDxDXL3N,振东街86号,[海口],"110.347152,20.043396",13687563202,2025-12-08 17:16,,,,,,
文昌邓记清补凉,https://www.dianping.com/shop/G7je3REd2kG8fNAM,海垦路八一新村门口（工商银行旁边）,[海口],"110.306716,20.003285",13368948455,2025-12-08 17:16,,,,,,
cdf海口国际免税城,https://www.dianping.com/shop/l5oSwG9zxDpj0mkF,海色路5号,[海口],"113.073108,23.007158",4001100100,2025-12-08 17:13,,,,,,
RIFFELS 浅滩咖啡,https://www.dianping.com/shop/k2mWsdrNrfbtNdiS,滨海大道贵族游艇会西北侧约80米,[海口],"110.250802,20.028813",13208920516,2025-12-08 17:13,,,,,,
老彭记清补凉,https://www.dianping.com/shop/FImN8QVkAtwzZgra,新华南路2号宏州电器商城1楼临街商铺（一心堂隔壁）,[海口],"110.344386,20.036745",15203669220,2025-12-08 17:13,,,,,,
海口云洞图书馆,https://www.dianping.com/shop/k7y8eWY6Q2yZR5D7,港湾路世纪公园音乐广场西北侧,[海口],,13012345678,2025-12-08 17:12,,,,,,
东郊椰林生椰乳,https://www.dianping.com/shop/k15y9EKSLtEYf5MZ,金龙路11号上邦百汇城F1,[海口],"112.680787,22.380986",18789030892,2025-12-08 17:12,,,,,,
一斑,https://www.dianping.com/shop/H9lat4YPzFb1mmOH,海甸岛一西路13-12,[海口],"110.336350,20.046960",15348865168,2025-12-08 17:12,,,,,,
迎葫芦蒸生蚝,https://www.dianping.com/shop/l9t2UGoDdEnBYtN7,新民西路133号,[海口],"110.343620,20.039857",18786959197,2025-12-08 17:12,,,,,,
王天允·王记特色牛肉筋,https://www.dianping.com/shop/laJkbGSqB7KJkaEY,解放西路9号金棕榈文化商业广场小吃街XCF09号,[海口],,13278901130,2025-12-08 17:11,,,,,,
陈三姐早餐店,https://www.dianping.com/shop/H5jdOXeT6ewoAA0J,银坡路4-10号,[海口],"110.351861,20.028316",13687584933,2025-12-08 17:11,,,,,,
宋记海南粉传承老店,https://www.dianping.com/shop/G9YQCXtV9UDYTPA0,人民西里140号,[海口],"110.339708,20.049511",66251913,2025-12-08 17:11,,,,,,
海友酒店,https://www.dianping.com/shop/E5mpcvERWoSlsdWn,解放西路9号金棕榈商业广场F栋6楼,[海口],"110.340812,20.039692",36635588,2025-12-08 17:08,,,,,,
四兄弟清补凉,https://www.dianping.com/shop/H5Ae6yGNrXiH76Kt,大园路大园里六巷41号,[海口],,18274955174,2025-12-08 17:07,,,,,,
隆仔鸡饭店,https://www.dianping.com/shop/G5HANPtI7OyQsAV7,新华南路2号金鹿商城文明西路1号楼首层第3、4号铺面,[海口],"110.344386,20.036745",66100256,2025-12-08 17:07,,,,,,
盐味主张,https://www.dianping.com/shop/k4wh6ZADQg3VGXbh,新华南路64-1号（近解放西路）,[海口],"110.343192,20.040372",18976540054,2025-12-08 17:07,,,,,,
嘉兴盐焗鸡,https://www.dianping.com/shop/FxR8RKAH6kt62S7P,义龙西路3号佳基盐焗鸡旁,[海口],"110.335880,20.027317",18708911808,2025-12-08 17:07,,,,,,
和式烧鸡,https://www.dianping.com/shop/G9YXhSE6KCUN98Dw,东门里41号,[海口],,13337647717,2025-12-08 17:06,,,,,,
ECHOO STAR美式厚料汉堡,https://www.dianping.com/shop/k43FLYPRazxwFDtw,上地华联购物中心二层东北侧扶梯口（安踏斜对面）,[北京],,18515447689,2025-12-08 17:01,Error,Error,Error,Error,Error,Error
YIN隐,https://www.dianping.com/shop/l6EhcBIdTY7VjQE1,王府井大街269号王府中环东座3楼301B号,[北京],"116.409326,39.912564",17810622621,2025-12-07 15:08,Error,Error,22.96 km,74 min,Error,Error
Comswiit,https://www.dianping.com/shop/G8cEzUuboU2Pb4fs,半截塔路首创郎园StationA13-1,[北京],,52664444,2025-12-06 23:00,27.58 km,75 min,29.73 km,78 min,12.68 km,41 min
饱是福餐厅 BullshitFood,https://www.dianping.com/shop/GailzcWxbNEjjGIZ,美术馆后街58号兆军盛菜市场西门2号商铺,[北京],,16619841119,2025-12-06 21:45,Error,Error,Error,Error,6.74 km,27 min
LE RETOUR 乐赫图西餐厅,https://www.dianping.com/shop/iQjBh1Y3GRLx6kex,十四纬路29号1层,[沈阳],"123.426818,41.783096",18240187698,2025-12-06 11:47,,,,,,
龙港酒楼,https://www.dianping.com/shop/l5wZvVKP6gKogvID,复兴门外北大街5号,[北京],"116.356261,39.913140",68019722,2025-12-06 11:10,Error,Error,Error,Error,10.07 km,46 min
小金朝族饭馆,https://www.dianping.com/shop/k4SapUW7zDM1sjvZ,东直门南小街119号一层1-4号,[北京],"116.425630,39.935222",13621346782,2025-12-06 11:10,Error,Error,Error,Error,6.52 km,30 min
鱼窝窝•景德镇江西菜,https://www.dianping.com/shop/H5EIkVLflowB7R7C,学院路街道志新西路3—1号院1号楼,[北京],"116.363966,39.998620",18911422686,2025-12-06 11:04,Error,Error,Error,Error,Error,Error
福叁咖啡&小红帽三明治,https://www.dianping.com/shop/l2v8vmijCI9U8302,花园东路25号牡丹集团东门门口,[北京],"116.369221,39.979070",13001031827,2025-12-05 14:49,14.46 km,40 min,14.63 km,41 min,16.38 km,70 min
抱朴画室,https://www.dianping.com/shop/l94XKRPX73O6I4BP,上地东路颐泉汇1号楼1层116,[北京],"116.313384,40.036009",18510378809,2025-12-04 15:41,1.70 km,9 min,3.50 km,13 min,Error,Error
INNO100,https://www.dianping.com/shop/ka3FN9xVHHzWCXkd,深圳湾文化广场北馆L1层,[深圳],"113.945026,22.511935",19037339726,2025-12-03 19:11,,,,,,
南城鸟店·走地鸡火锅,https://www.dianping.com/shop/k71gtyNhHOeMiGjn,北下关街道学院南路39号中央财经大学,[北京],"116.342365,39.959488",13219870125,2025-12-02 20:35,Error,Error,Error,Error,Error,Error
汕味七记,https://www.dianping.com/shop/l79AY7Gp41V5Bhy0,东大街案板街吉庆大厦吉庆巷3号,[西安],"108.950463,34.260882",18792761121,2025-12-02 16:09,,,,,,
阿里西北烧烤肉夹馍,https://www.dianping.com/shop/k6JIJITI8SEkhgI5,童心湘厨第二档口,[北京],"116.317347,39.952931",13011008510,2025-12-01 16:39,Error,Error,Error,Error,Error,Error
Casa Lola 南美菜•炭烤海鲜,https://www.dianping.com/shop/H9WZPYHm1bpR06Nw,建国门外大街22号赛特+购物中心F1层,[北京],"116.442111,39.908117",13121432298,2025-11-29 23:16,Error,Error,Error,Error,2.52 km,10 min
Tuna maki寿司,https://www.dianping.com/shop/l8c6nB135a7J4HtS,海淀大街北京中关村ARTPARK大融城购物中心西区负2层A-LG2-09号商铺,[北京],"116.313675,39.980809",15120080750,2025-11-29 19:36,Error,Error,Error,Error,Error,Error
莲钰汤饭,https://www.dianping.com/shop/G6DW2TEofwF7Fe6N,融科望京中心B座1层106,[北京],"116.483107,39.997523",13621306900,2025-11-29 19:32,Error,Error,Error,Error,Error,Error
北京林家一·林家台菜·黄鱼土灶饭,https://www.dianping.com/shop/l1clSlDJWvym4IoJ,雅宝路1号1层1008号,[北京],,18516890099,2025-11-29 19:25,Error,Error,Error,Error,2.98 km,16 min
平叁.和牛烧肉小酒馆,https://www.dianping.com/shop/GaBHaedbCPRsI0mz,北辰东路8号院新辰里购物中心一层（西门）,[北京],"116.406533,39.991626",15710020138,2025-11-29 19:22,Error,Error,Error,Error,Error,Error
Lily’s American Diner LAD,https://www.dianping.com/shop/k63cFHGjBrXMppWc,双井街道广渠路31号天之骄子2号楼2-18号(近富力城),[北京],"116.465158,39.895801",65925548,2025-11-28 09:08,Error,Error,Error,Error,Error,Error
Sth Good·好饭,https://www.dianping.com/shop/H32NVcbTw7DJ3XrM,隆福寺东院3号院1层18-19号,[北京],"116.416142,39.924859",13269560627,2025-11-27 16:54,Error,Error,Error,Error,Error,Error
三出山火锅,https://www.dianping.com/shop/G27cRuMF0VXU0efZ,远大路1号世纪金源购物中心1幢5层D段（E10电梯处）,[北京],"116.288291,39.958662",13521161412,2025-11-26 21:38,Error,Error,Error,Error,Error,Error
Red Dot,https://www.dianping.com/shop/k3CiS1aschnwSHju,双井街道百子湾南二路76号院5-12A号,[北京],"116.472419,39.896593",13011158161,2025-11-26 17:23,Error,Error,Error,Error,Error,Error
心也小店烧鸟,https://www.dianping.com/shop/G1BOWF2FPuD45XVX,广渠路36号院7号楼1层,[北京],"116.646758,39.897763",17610210905,2025-11-26 15:32,Error,Error,Error,Error,18.19 km,55 min
嘉梅食平方,https://www.dianping.com/shop/G8crgoS73FCK63ES,学院路街道学清路逸成东苑9号楼三层,[北京],,82429746,2025-11-26 12:37,Error,Error,9.47 km,30 min,21.88 km,91 min
此食此刻,https://www.dianping.com/shop/H6cLzAnharPh3aqo,县仓巷西号巷1号,[西安],"108.958056,34.253496",15529092988,2025-11-26 12:36,,,,,,
张满满辣螃蟹·烧烤自贡菜大排档,https://www.dianping.com/shop/k2faCTxCSi0KMj2j,西大街160,[西安],"108.935163,34.259256",13319282201,2025-11-25 20:43,,,,,,
T-FOUR,https://www.dianping.com/shop/G2M4Guo6SS2nHLFL,新潞运河文创园A1号（近东北门）,[北京],"116.670823,39.926062",13911825105,2025-11-25 17:47,40.33 km,115 min,42.49 km,116 min,22.72 km,66 min
Have a bread来个面包,https://www.dianping.com/shop/l9Ks2FCvtPi8UfQx,望京街道望京望花路全季酒店隔壁（九十四中学对面）,[北京],,15652526225,2025-11-24 12:25,19.94 km,52 min,19.72 km,56 min,12.14 km,59 min
山下有松空间,https://www.dianping.com/shop/G9lqdYRaGQF84MMr,崔各庄乡观唐东路5号浩华文创园C8,[北京],"116.508390,40.023846",18600658468,2025-11-24 10:53,21.35 km,53 min,23.51 km,58 min,16.49 km,57 min
入口天物,https://www.dianping.com/shop/l9Vl9sAXjC9azY7o,丈八街道高新路中大国际负1楼B161-162,[西安],"108.946494,34.253996",15389027876,2025-11-22 23:13,,,,,,
入口天物,https://www.dianping.com/shop/H9gFD77GpE6dblGt,雁展路250号西安万象城负一层B213号商铺,[西安],,18165200870,2025-11-22 23:13,,,,,,
入口天物,https://www.dianping.com/shop/k1bKYHY630SjMJrJ,西直门外大街1号凯德MallB1层101-B1-27号,[北京],"116.352759,39.941313",4007078899,2025-11-22 23:13,13.94 km,49 min,18.17 km,57 min,14.23 km,50 min
寿司郎,https://www.dianping.com/shop/l3vzvcLmO9Fc2Ozh,远大路1号北京世纪金源购物中心西区5层（E18号直梯附近）,[北京],"116.288102,39.958251",82204346,2025-11-22 14:15,Error,Error,14.65 km,48 min,22.03 km,82 min
spellcoffee,https://www.dianping.com/shop/ioUADDTgS3vfKKv0,悦秀路99号通厦公元99通厦花卉一层商业入口处,[北京],"116.337194,40.047178",13521508216,2025-11-21 21:22,5.35 km,24 min,7.06 km,24 min,Error,Error
雨杰炙子烤肉,https://www.dianping.com/shop/H74LGv9nwMVnS9Kd,西三旗街道营福路福美苑底商9-2号,[北京],"116.341499,40.042861",13910751187,2025-11-21 21:19,Error,Error,6.80 km,26 min,Error,Error
北杜组·和风洋食居酒屋,https://www.dianping.com/shop/G27uCS7DhuTvkcpF,农展馆北路时尚258广场三层拾捌食酒美食街313a,[北京],,15110144505,2025-11-20 14:28,Error,Error,Error,Error,Error,Error
屈崔氏药膳罐罐鸡,https://www.dianping.com/shop/la3p6yr0sGokYTrz,丰登路85号东侧,[西安],,84255958,2025-11-20 14:26,,,,,,
张姐一品香粉蒸肉,https://www.dianping.com/shop/laKIcUbzbqVl4Ppo,团结中路33号西变丰登小区,[西安],"108.893557,34.266700",,2025-11-20 14:24,,,,,,
胡同口23号电烤大串,https://www.dianping.com/shop/l32JXZ4vriZKdiYf,双井街道天力街15号楼1号101,[北京],"116.456368,39.897156",13910268337,2025-11-19 19:37,Error,Error,34.73 km,91 min,1.99 km,10 min
仙味八婺·金华小吃,https://www.dianping.com/shop/jgVLwYieDz6rIMcA,广渠门外大街甲13号楼(富力城D区北门)底商,[北京],"116.454262,39.897202",88805570,2025-11-19 19:33,Error,Error,29.93 km,92 min,Error,Error
小荣酒家,https://www.dianping.com/shop/lazc0vErUUq6BprC,工人体育场南路中纺里34号院兴华公寓南门东侧,[北京],,65917331,2025-11-18 22:15,Error,Error,26.44 km,92 min,Error,Error
板前拾玖席·现握中华寿司,https://www.dianping.com/shop/k4kZlv0XlokrEYjS,三里屯一号场T+MALL(原通盈中心)负一层B1-K13（鸿潮汕旁边）,[北京],"116.454918,39.932121",15330168969,2025-11-18 14:16,Error,Error,26.65 km,85 min,Error,Error
丸福日式烤肉,https://www.dianping.com/shop/kaVduawxYPckinf3,麦子店街道麦子店街4号楼1层南侧(永安宾馆十字路口往北50米),[北京],"116.468740,39.945044",64602580,2025-11-17 19:11,Error,Error,24.56 km,80 min,Error,Error
阿宽橡果·爆汁烤肉专研店,https://www.dianping.com/shop/l2ulA0mQvYobazKg,灯湖西路致越优城D座首层（渔文乐旁边）,[佛山],"113.144344,23.048865",18188718830,2025-11-17 14:21,,,,,,
Mikkeller Bar Beijing,https://www.dianping.com/shop/l1eORnBrCiL6OWsE,西四北大街225号,[北京],,13488865509,2025-11-16 12:16,Error,Error,20.22 km,61 min,Error,Error
红蕃茄·24节气楚膳,https://www.dianping.com/shop/G40iK4hvIllNDtGO,"北辰东路18号格兰云天大酒店内1层西北角（从酒店大堂进入,走到酒店前台右转）",[北京],"116.400917,39.996246",84981055,2025-11-14 20:55,Error,Error,Error,Error,Error,Error
广东顺德人家,https://www.dianping.com/shop/l5UygUMMHLG5oMA5,六道口弘彧大厦7号弘彧大厦东门北侧底商（近六道口地铁站D口）,[北京],"116.352350,40.000355",15010776297,2025-11-14 20:54,Error,Error,11.31 km,36 min,Error,Error
ARKET CAFÉ,https://www.dianping.com/shop/G63yuQzy7Auydk0a,太古里南区F1,[北京],"116.454252,39.935107",64094787,2025-11-14 19:32,Error,Error,25.72 km,84 min,Error,Error
VITOR CASTRO手工葡式蛋挞,https://www.dianping.com/shop/FhakbWlI1JJwhGpV,三里屯南区S9-10,[北京],,13661178663,2025-11-14 19:32,Error,Error,Error,Error,Error,Error
平日中古,https://www.dianping.com/shop/G6p1kNfZZuVaGwmD,东坝地区半截塔路七棵树创意园B1-5,[北京],"116.407387,39.904179",18092625670,2025-11-14 09:48,Error,Error,Error,Error,Error,Error
红春水上海酒家,https://www.dianping.com/shop/H1BXGudghlSRbqsu,将台地区将台西路文心华策影视交流中心A109,[北京],"116.481060,39.986690",15601655863,2025-11-14 09:43,Error,Error,Error,Error,Error,Error
一木浮生妆造,https://www.dianping.com/shop/l8eEmY5Bc1zGToE0,荣民国际大厦8楼807室,[西安],"108.938568,34.258034",18209237867,2025-11-13 09:28,,,,,,
猪岛·CAFE,https://www.dianping.com/shop/jPuCLs9ampbwtE6J,冷泉西路西山林语三区24号楼底商111,[北京],,16600075673,2025-11-12 20:08,Error,Error,Error,Error,Error,Error
TRIPS BURGER,https://www.dianping.com/shop/l9SN8H6fGiHpRDRY,大钟寺东路太阳园中嘉大厦B1富市美食城内,[北京],"116.407387,39.904179",17611702022,2025-11-12 20:08,Error,Error,Error,Error,Error,Error
NIBU·手作牧场酸奶,https://www.dianping.com/shop/k3VZf72eCfqHOG1H,卫星制造厂科技园（大火箭下面）,[北京],"116.329173,39.977079",18518965655,2025-11-12 20:07,Error,Error,Error,Error,Error,Error
UW Husky热狗·精酿,https://www.dianping.com/shop/G6SPDg3PufeqUvtN,南半截胡同3号004,[北京],"116.373090,39.886211",15137556552,2025-11-12 20:07,Error,Error,Error,Error,8.61 km,40 min
Mini Friday·小周五餐厅,https://www.dianping.com/shop/GaYchBJMDelyjM7x,百子湾路32号院北京二十二院街艺术区1号楼1层7号,[北京],,17777867606,2025-11-12 20:03,Error,Error,33.56 km,95 min,Error,Error
初·鸯 Only Dessert,https://www.dianping.com/shop/G9za21Lj3s4s5jzE,凌宾路奥城天玺21号楼1楼105,[天津],"117.168046,39.076385",17694909112,2025-11-12 20:02,,,,,,
Kijiya,https://www.dianping.com/shop/Ga3fbUDFB2iZwbBh,"2522 Kijiyamachi, Hitoyoshi, Kumamoto 868-0063",[熊本],,+81-96-6290401,2025-11-12 20:01,,,,,,
关西烧肉の無尽藏,https://www.dianping.com/shop/k8uoqk4xaq2o88uA,大酱坊胡同7号院（灵境胡同地铁站B东北口步行400米）,[北京],,13315177828,2025-11-12 19:45,20.04 km,69 min,21.09 km,70 min,9.11 km,36 min
贰柒松针包子,https://www.dianping.com/shop/G66Qi1QZFubPrAlu,前炒面胡同49号,[北京],"106.522537,29.597339",13069565520,2025-11-12 19:44,21.06 km,76 min,23.29 km,75 min,6.17 km,27 min
如饴冨食门框雪糕,https://www.dianping.com/shop/HaTV7b5W4uZBNuN1,门框胡同18号,[北京],"116.395994,39.896847",18511030701,2025-11-12 19:43,25.55 km,80 min,Error,Error,7.29 km,29 min
M·B 墨西哥餐厅,https://www.dianping.com/shop/H6lbXyCsRKcianv8,成府路华清嘉园东区12号楼底商（距五道口地铁站B南口210米）,[北京],"116.338611,39.992552",18511869810,2025-11-12 10:15,7.13 km,25 min,Error,Error,Error,Error
Clay Lab陶艺实验室,https://www.dianping.com/shop/l7G8VvRsTokJtDMB,悦moma806,[北京],,18810880740,2025-11-11 23:37,Error,Error,24.21 km,80 min,Error,Error
Shadow Piece·影片服装工作室,https://www.dianping.com/shop/l2dde1vRjnX9rmml,"上地十街辉煌国际4号楼1709室（招商银行旁边辉煌商街西入口进去,直走4号楼电梯厅,坐高层电梯到17楼）",[北京],,13911526565,2025-11-11 23:17,Error,Error,Error,Error,Error,Error
立ちすし酒場さしす,https://www.dianping.com/shop/G3z8WtLtuaRUOVQ3,大阪府大阪市北区角田町9-26 新梅田食道街,[大阪],"118.662837,43.525495",+81-50-55952764,2025-11-11 23:13,,,,,,
Sushi Sakaba Sashisu,https://www.dianping.com/shop/G8zFR7ktrzKkR2Sm,"日本〒542-0074 Osaka, Chuo Ward, Sennichimae, 1 Chome−5−11 なんばウォーク３番街南通り",[大阪],,+81-662145230,2025-11-11 23:13,,,,,,
Sashisu,https://www.dianping.com/shop/G1DOvhRz9MiRyirN,"〒530-0001 Osaka, Kita Ward, Umeda, 1 Chome−1−3 Osaka Station 3 Building, 地下1階68号",[大阪],,+81-6-47976667,2025-11-11 23:13,,,,,,
すし酒場 さしす KITTE博多店,https://www.dianping.com/shop/k2gGbMUd7JirUFaQ,"〒812-0012 Fukuoka, Hakata Ward, Hakataekichuogai, 9−1 KITTE博多 B1 14区画",[福冈],,+81-924773950,2025-11-11 23:13,,,,,,
すし酒場 さしす,https://www.dianping.com/shop/jP5b6uIEJRsFH6LE,〒600-8216 京都府京都市下京区烏丸通七条下る東塩小路町590-2 1F,[京都],,+81-5055926243,2025-11-11 23:13,,,,,,
すし酒場さしす KITTE大阪店,https://www.dianping.com/shop/l8RIhnvbCaRYHqbr,"日本〒530-0001 Osaka, Kita Ward, Umeda, 3 Chome−2−2 B1F",[大阪],,+81-661318275,2025-11-11 23:13,,,,,,
すし酒場 さしす ホワイティうめだ店,https://www.dianping.com/shop/HazaQ7A4ZMo62B1W,"梅田地下街2-8 Kakudacho, Kita Ward, Osaka, 530-0017日本",[大阪],,+81-661309780,2025-11-11 23:12,,,,,,
咖啡丽奥 CAFELIO 카페리오,https://www.dianping.com/shop/H7CGlYXeOPjuHzL5,望京街望京西园三区316号楼2层底商,[北京],,18510326381,2025-11-11 20:10,Error,Error,Error,Error,Error,Error
Shop Neun蒜泥服饰品牌集合店,https://www.dianping.com/shop/G5axQOhTc4Xm6MfY,爱工场文化产业园2栋109,[北京],,18811725306,2025-11-11 19:01,Error,Error,Error,Error,Error,Error
一顿烧烤,https://www.dianping.com/shop/G8GwZs4EdE0SHsqU,酒仙桥街道万红路慢生活5号院A座一层1010,[北京],"116.494039,39.980485",18309877873,2025-11-11 18:29,Error,Error,Error,Error,Error,Error
藏家小鲜CangJia·胶東小海鲜酒馆,https://www.dianping.com/shop/kasZjCwDrXZE0tFn,"地铁东大桥站D1西南楼步行700米,CBD金汇路8号楼中骏世界城E-120B号（E座临街商铺）",[北京],"116.452194,39.917821",81198766,2025-11-11 09:35,Error,Error,Error,Error,Error,Error
宝光熏肉鞋底火烧,https://www.dianping.com/shop/H53S5UXRnYIyz6fj,护国寺小吃街65号,[北京],"116.376684,39.935222",13466675528,2025-11-10 19:00,Error,Error,Error,Error,Error,Error
阿祥嫂隆江猪脚饭,https://www.dianping.com/shop/jPaGjahf5QxdRb0b,海淀街道苏州街9号,[北京],,18501989350,2025-11-10 18:42,Error,Error,Error,Error,Error,Error
辽河渡口·非遗东北菜,https://www.dianping.com/shop/G2dwZuEE9m5Q4Zvl,北四环西路甲二号辽宁大厦二楼,[北京],,82550005,2025-11-10 18:19,Error,Error,13.77 km,51 min,Error,Error
风光老灶麻辣香锅,https://www.dianping.com/shop/H231ENqCHMau4Iln,三里河路17号六层,[北京],"116.265507,39.887871",68336139,2025-11-09 18:29,Error,Error,18.32 km,57 min,Error,Error
风光老灶麻辣香锅,https://www.dianping.com/shop/k1KUdBKYTNNh57W3,阜石路当代商城(鼎城店)B1层101-F28、F29号,[北京],"116.196034,39.925629",88939024,2025-11-09 18:29,Error,Error,Error,Error,Error,Error
恭敬李麻辣香锅,https://www.dianping.com/shop/k8WjUTkJ23fj3D82,黑窑厂街陶然亭公园北门北行100米路东（近陶然亭路）,[北京],"116.383735,39.878808",63568516,2025-11-09 18:29,Error,Error,Error,Error,Error,Error
乐场咖啡·阅读·自习·会议室,https://www.dianping.com/shop/G7mAI37xCYFpsS48,清河嘉园东区甲1号楼A座8层819,[北京],,13611017203,2025-11-09 12:21,Error,Error,Error,Error,Error,Error
雷老哥土鲫鱼下饭菜,https://www.dianping.com/shop/k1n1birRDG1GOEgo,清河嘉园西区3号楼2单元1层103底商,[北京],,18547608294,2025-11-09 11:41,Error,Error,Error,Error,Error,Error
一亩茶舍·商务会议·休闲聚会·茶馆,https://www.dianping.com/shop/k9YgjVFlbw60xNF3,768创意园,[北京],"116.407387,39.904179",15652970337,2025-11-08 13:39,Error,Error,Error,Error,Error,Error
YIMU一亩咖啡·茶饮·天空农场·自然手作,https://www.dianping.com/shop/k9x2JLVgV7vtaCj7,世纪金源6层,[北京],"116.564640,40.134180",13488735194,2025-11-08 13:38,Error,Error,Error,Error,Error,Error
八重米藏拙,https://www.dianping.com/shop/k3HeBVrCzZs0bkYs,长安北路261号SKP购物中心负一楼UB1006-7商铺,[西安],"108.948416,34.247889",83699856,2025-11-08 13:19,,,,,,
作故私房菜,https://www.dianping.com/shop/kaaXLYGS5ExqzucN,番禺路232号院内,[上海],,17600802435,2025-11-07 10:23,,,,,,
郭记小街麻辣烫,https://www.dianping.com/shop/H2YsWahoaWYtbpy5,团结湖东里6-4号,[北京],,18838017593,2025-11-05 21:01,Error,Error,Error,Error,Error,Error
瓷咖啡Cí COFFEE,https://www.dianping.com/shop/k18LnhRjue2JtK1L,团结湖东里10号团结新里together4栋1层110号（园区停车场方向）,[北京],"113.889869,22.557559",15810906459,2025-11-05 20:43,Error,Error,Error,Error,Error,Error
Sunflour,https://www.dianping.com/shop/l8xbSnsTYdJJxMjT,安福路308号103-104室,[上海],"121.440613,31.213368",64737757,2025-11-04 16:52,,,,,,
了辛·爆汁烤冷面,https://www.dianping.com/shop/FlxDWrbf7ByfMz1E,复兴路69号五棵松万达广场LG层探五哩街区B1107,[北京],"116.276017,39.910930",15910350331,2025-11-04 14:54,Error,Error,Error,Error,Error,Error
野酸椒贵州小馆,https://www.dianping.com/shop/G91yignBiJSGMyml,团结湖街道团结湖北头条8号,[北京],,18210307715,2025-11-04 14:38,Error,Error,Error,Error,4.00 km,27 min
二马路老李炸炸炸,https://www.dianping.com/shop/H2YEaWYPZvpp74Pi,黄兴北路大王家巷287号,[长沙],"112.978553,28.216920",13548586441,2025-11-04 13:39,,,,,,
比格比萨自助,https://www.dianping.com/shop/F3jsndwAqZiSe4iH,湖光中街望京西地铁站C口对面（望承公园北门）,[北京],"116.449884,39.995724",64139576,2025-11-04 11:42,Error,Error,20.69 km,47 min,13.10 km,57 min
有书空间,https://www.dianping.com/shop/l1woOVxBMdOgdrid,红军营南路36号暖山生活2层,[北京],"116.414930,40.032437",18210927465,2025-11-03 22:03,13.15 km,36 min,15.31 km,41 min,19.92 km,74 min
山野板扎·云贵川Bistro,https://www.dianping.com/shop/l1Yk8lQOkc7nm3cM,西单北大街131号西单大悦城6F,[北京],,18515309636,2025-11-03 21:53,20.79 km,73 min,21.84 km,74 min,8.71 km,36 min
KIDSMO,https://www.dianping.com/shop/kaLcugblINSil12b,十全街519号（十全街与凤凰街交叉口东北25米）,[苏州],,18136131519,2025-11-03 17:33,,,,,,
哼哼小食堂,https://www.dianping.com/shop/kaAgDyNfL3WB3rGh,安化北里6号楼东侧南边平房,[北京],"116.434738,39.893297",15600161124,2025-11-03 10:07,30.49 km,94 min,29.21 km,92 min,Error,Error
Yummylicious by ZAZA,https://www.dianping.com/shop/l4fkiH6ErUzMGd8z,沙滩后街17号,[北京],"116.402852,39.925547",18501176832,2025-11-02 16:09,19.76 km,70 min,21.99 km,71 min,7.71 km,32 min
丁家牛肉面,https://www.dianping.com/shop/l9t1w1pCEn0S8KyZ,金康路东口,[西安],"109.005990,34.267899",13991979736,2025-11-02 15:49,,,,,,
渔之牛•炖肉煲•油边王,https://www.dianping.com/shop/H8nKJUaILDzZib3Q,华丰大厦底商,[北京],,13520136612,2025-11-02 09:34,19.62 km,56 min,22.78 km,55 min,11.23 km,55 min
麓清Art Room咖啡,https://www.dianping.com/shop/H6kidbBYGKIZZOAB,长春桥路万柳亿城中心C1座1904,[北京],,13810894940,2025-11-01 23:58,10.64 km,31 min,13.54 km,47 min,20.64 km,78 min
二妹美食,https://www.dianping.com/shop/l8tAEppSmDRmcAIk,东大桥路光华西里(光华路SOHO西南)4栋1层110号,[北京],"116.407387,39.904179",13990074157,2025-10-29 11:14,34.36 km,94 min,Error,Error,2.11 km,9 min
乐衢小馆,https://www.dianping.com/shop/l9NwJ75g8Kg7bCm3,望京东园七区8号楼8-37临街,[北京],"116.491862,39.997486",17888837289,2025-10-29 09:51,21.29 km,53 min,23.44 km,56 min,12.58 km,57 min
南城鸟店·走地鸡火锅·椰子鸡·糟粕醋,https://www.dianping.com/shop/l9Dre3uhCBEZZKMj,石榴庄西街125-1号,[北京],"116.418107,39.842442",13895309454,2025-10-29 08:43,37.58 km,92 min,40.48 km,100 min,Error,Error
俏东北,https://www.dianping.com/shop/G66vEjRZjnDeymPU,复兴路69号五棵松华熙LIVE南广场G18,[北京],,15701330418,2025-10-28 19:39,Error,Error,Error,Error,16.10 km,69 min
